city,lat,lon
Kalol,23.2452165,72.4966223
Rampara,22.2480573,68.9765526
Malpur,23.3594332,73.4649753
Ghanshyam Nagar,22.2489270,68.9673115
Mansa,23.4251030,72.6583024
Prantij,23.4372086,72.8518061
Vrujdham,22.2492551,68.9589810
Mahesana,23.6015557,72.3867981
Idar,23.8362255,73.0114616
Khedbrahma,24.0310837,73.0484016
Palanpur,24.1709794,72.4366375
Deesa,24.2594977,72.1803348
Tharad,24.3897272,71.6292685
Bhuj,23.2472446,69.6683390
Rajpipla,21.8780690,73.5039695
Viramgam,23.1224522,72.0483946
Mandal,23.2883831,71.9178854
Samakhiali,23.3030966,70.5069387
Sanand,23.0238876,72.3851475
Junagadh,21.5220416,70.4582458
Gondal,21.9575096,70.8009896
Maliya,21.1598605,70.3071313
Gandhinagar,23.2232877,72.6492267
Kutiyana,21.6228345,69.9852088
Madhavpur,21.2556395,69.9653396
Ranavav,21.6986198,69.7268474
Dabhoi,22.1336175,73.4201004
Pipavav,20.9388589,71.4770408
Jetpur,21.7543725,70.6189391
Udvada,20.4621395,72.9190049
Petlad,22.4770467,72.8003365
Kheralu,23.8851474,72.6172316
Vadnagar,23.7853622,72.6332132
Rajkot,22.3053263,70.8028377
Waghodia,22.3043328,73.4016768
Dhanera,24.5036694,72.0325116
Tarapur,22.4882996,72.6576842
Okha,22.4716083,69.0765418
Sarkhej,22.9834830,72.5007203
Alang,21.3968581,72.1774463
Anand,22.5586555,72.9627227
Zankhvav,21.4512994,73.3205248
Mandvi,22.8314482,69.3508100
Bardoli,21.1338291,73.1053896
Bhilad,20.2754926,72.8873250
Amadpore,20.9740869,72.9627704
Dumas,21.0878845,72.7125610
Amroli,21.2375488,72.8505771
Jhalod,23.1006273,74.1560018
Valsad,20.4321957,73.1409893
Bilimora,20.7671693,72.9693451
Vadodara,22.2973142,73.1942567
Vadali,23.9411124,73.0403755
Salaya,22.3110040,69.6025978
Saputara,20.5796690,73.7478878
Godhra,22.7785001,73.6245157
Dahegam,23.1681910,72.8223276
Dhandhuka,22.3816365,71.9791414
Umreth,22.6990518,73.1150450
Ahwa,20.7587262,73.6873533
Gariadhar,21.5385705,71.5792958
Lalpur,22.1915377,69.9639630
Manavadar,21.4979645,70.1406499
Vanthali,21.4772602,70.3321207
Dhari,21.3280712,71.0262213
Jafarabad,20.8660085,71.3647543
Vallabhipur,21.8885909,71.8781618
Visnagar,23.6978037,72.5507598
Devgadh Baria,22.7014918,73.9088415
Ankleshwar,21.6293206,72.9945103
Sikka,22.4290087,69.8432372
Bhanvad,21.9333303,69.7984765
Bagasara,21.4857835,70.9559406
Upleta,21.7466811,70.2821426
Jamnagar,22.4732415,70.0552102
Sutrapada,20.8428692,70.4799081
Gadhada,21.9682625,71.5769241
Talala,21.0560298,70.5303798
Surendranagar,22.8251395,71.6209736
Patan,23.7737530,71.6798581
Talod,23.3530428,72.9510592
Radhanpur,23.8472862,71.5858439
Khimiyana,23.7641433,72.1268375
Mithivavdi,23.7624348,72.1086199
Ruppur,23.7374521,72.1060665
Bhatsan,24.1121729,72.1602947
Amarpura,24.1020922,72.1855503
Nava,24.1277604,72.1661395
Aseda,24.1572236,72.1796013
Maniyari,23.6048157,72.0886065
Kadi,23.2969449,72.3306381
Ambaji,24.3332794,72.8496191
Ghogha,21.6874043,72.2761717
Sinor,21.9111503,73.3384024
Paliyad,22.2587180,71.5619822
Meghrej,23.4947987,73.5126493
Songadh,21.1702124,73.5622874
Kanjari,22.6123339,72.9196961
Vadtal Dham,22.5943114,72.8749406
Palej,21.9205704,73.0726247
Adalaj,23.1646919,72.5821046
Himatnagar,23.5971246,72.9588273
Savarkundla,21.3355059,71.3130864
Mahemdavad,22.8245152,72.7533562
Siddhpur,23.9182790,72.3681846
Mithapur,22.4117955,69.0089392
Dholera,22.2495856,72.1959892
Kukarvada,23.5554188,72.6169411
Modhera,23.5816650,72.1404120
Borsad,22.4094019,72.9052520
Jambusar,22.0514367,72.8069758
Satlasana,24.0246132,72.7933287
Gir Gadhada,20.9225185,70.9190462
Sachin,21.0778781,72.8744643
Kim,21.3996957,72.9265900
Kosamba,21.4666151,72.9518617
Bhatiya,22.0885430,69.2800719
Modasa,23.4634245,73.2990631
Gadu,21.0535130,70.2898917
Amreli,21.4176122,71.2496090
Barejadi,22.8959246,72.6782442
Vijapur,23.5590941,72.7449399
Virpur,21.8490419,70.7078340
Sojitra,22.5391166,72.7192782
Sankheda,22.1716283,73.5797953
Khergam,20.6313585,73.0951202
Subir,20.9287346,73.7737942
Unjha,23.7968484,72.3818955
Vaso,22.6609576,72.7553379
Chuda,22.4815114,71.6881728
Keshod,21.3148629,70.2678937
Lamba,21.8998565,69.3171269
Bodeli,22.2698290,73.7161432
Eru,20.9223191,72.9102287
Surajkaradi,22.4210621,69.0190435
Surat,21.2094892,72.8317058
Jetalsar Junction,21.7291971,70.5743069
Somaiya Society ,22.8223344,70.8258369
Shyampark ,22.8178625,70.8195578
Gadhka,22.0983120,69.4178730
Nandana,22.1286946,69.2909787
Positra,22.3946412,69.1733657
Charada,23.4882057,72.6523374
Beyt,22.4534814,69.0954203
Chhota Udepur,22.3148736,74.0141067
Kevadiya,21.8885056,73.6893287
